Datetime (UTC),Carbon Intensity gCO?eq/kWh (direct)
01/01/2024 00:00,20.86
01/01/2024 01:00,14.71
01/01/2024 02:00,15.11
01/01/2024 03:00,13.96
01/01/2024 04:00,14.84
01/01/2024 05:00,15.12
01/01/2024 06:00,15.77
01/01/2024 07:00,17.33
01/01/2024 08:00,17.43
01/01/2024 09:00,16.74
01/01/2024 10:00,14.55
01/01/2024 11:00,12.61
01/01/2024 12:00,10.0
01/01/2024 13:00,10.3
01/01/2024 14:00,10.41
01/01/2024 15:00,19.67
01/01/2024 16:00,25.92
01/01/2024 17:00,45.44
01/01/2024 18:00,60.57
01/01/2024 19:00,61.79
01/01/2024 20:00,56.75
01/01/2024 21:00,44.64
01/01/2024 22:00,39.13
01/01/2024 23:00,26.41
02/01/2024 00:00,30.56
02/01/2024 01:00,31.45
02/01/2024 02:00,36.02
02/01/2024 03:00,40.43
02/01/2024 04:00,51.26
02/01/2024 05:00,81.97
02/01/2024 06:00,92.56
02/01/2024 07:00,104.37
02/01/2024 08:00,104.92
02/01/2024 09:00,110.76
02/01/2024 10:00,110.8
02/01/2024 11:00,96.75
02/01/2024 12:00,94.2
02/01/2024 13:00,95.63
02/01/2024 14:00,98.16
02/01/2024 15:00,104.52
02/01/2024 16:00,111.31
02/01/2024 17:00,115.85
02/01/2024 18:00,116.16
02/01/2024 19:00,118.68
02/01/2024 20:00,117.59
02/01/2024 21:00,115.77
02/01/2024 22:00,110.89
02/01/2024 23:00,97.82
03/01/2024 00:00,89.48
03/01/2024 01:00,88.04
03/01/2024 02:00,86.37
03/01/2024 03:00,81.72
03/01/2024 04:00,82.62
03/01/2024 05:00,101.01
03/01/2024 06:00,105.29
03/01/2024 07:00,112.67
03/01/2024 08:00,115.52
03/01/2024 09:00,111.53
03/01/2024 10:00,107.13
03/01/2024 11:00,107.41
03/01/2024 12:00,111.59
03/01/2024 13:00,109.94
03/01/2024 14:00,107.2
03/01/2024 15:00,112.66
03/01/2024 16:00,134.43
03/01/2024 17:00,144.36
03/01/2024 18:00,148.96
03/01/2024 19:00,144.42
03/01/2024 20:00,142.86
03/01/2024 21:00,138.65
03/01/2024 22:00,134.6
03/01/2024 23:00,123.25
04/01/2024 00:00,97.5
04/01/2024 01:00,88.68
04/01/2024 02:00,84.3
04/01/2024 03:00,82.98
04/01/2024 04:00,80.65
04/01/2024 05:00,89.09
04/01/2024 06:00,107.31
04/01/2024 07:00,114.95
04/01/2024 08:00,113.07
04/01/2024 09:00,108.59
04/01/2024 10:00,100.43
04/01/2024 11:00,110.76
04/01/2024 12:00,107.88
04/01/2024 13:00,103.08
04/01/2024 14:00,107.51
04/01/2024 15:00,102.24
04/01/2024 16:00,117.79
04/01/2024 17:00,118.67
04/01/2024 18:00,117.71
04/01/2024 19:00,118.01
04/01/2024 20:00,124.12
04/01/2024 21:00,116.58
04/01/2024 22:00,103.36
04/01/2024 23:00,92.89
05/01/2024 00:00,68.49
05/01/2024 01:00,72.68
05/01/2024 02:00,67.1
05/01/2024 03:00,62.13
05/01/2024 04:00,70.09
05/01/2024 05:00,92.46
05/01/2024 06:00,117.6
05/01/2024 07:00,132.03
05/01/2024 08:00,142.24
05/01/2024 09:00,133.91
05/01/2024 10:00,128.6
05/01/2024 11:00,130.73
05/01/2024 12:00,120.03
05/01/2024 13:00,117.59
05/01/2024 14:00,120.11
05/01/2024 15:00,132.78
05/01/2024 16:00,153.41
05/01/2024 17:00,157.97
05/01/2024 18:00,158.82
05/01/2024 19:00,157.65
05/01/2024 20:00,158.78
05/01/2024 21:00,152.75
05/01/2024 22:00,145.27
05/01/2024 23:00,123.23
06/01/2024 00:00,102.75
06/01/2024 01:00,78.15
06/01/2024 02:00,69.01
06/01/2024 03:00,64.26
06/01/2024 04:00,68.49
06/01/2024 05:00,68.98
06/01/2024 06:00,75.42
06/01/2024 07:00,81.53
06/01/2024 08:00,89.0
06/01/2024 09:00,88.69
06/01/2024 10:00,79.18
