Data e hora,Biblioteca (C),Aulas (B),Cafetaria (O),Quimica (E),Minas e Metalurgia (F),Civil (G),Civil Norte (H),Electrotecnia (I),Mecanica (L),Mecanica Norte (M)
01/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
01/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
02/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
03/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
04/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
05/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
06/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2024 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 07:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 08:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 09:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 10:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 11:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 12:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 13:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 14:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 15:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 16:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 17:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 18:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 19:00:00,6.061,17.085,1.214,3.079,2.852,3.29,9.652,6.998,2.818,3.29
07/01/2024 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2024 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
