Data e hora,Dia da Semana,Administracao (A),Aulas (B),Biblioteca (C),CICA (D),Quimica (E),Minas e Metalurgia (F),Civil (G),Civil Norte (H),Electrotecnia (I),Electrotecnia Norte (J),Mecanica (L),Mecanica Norte (M),Cafetaria (O),Auditorio,Bombas de Rega,Bombas,Outros PT1,Outros PT3,Total Outros,Carregador Veiculos Eletricos I,Carregador Veiculos Eletricos II
01/01/2024 01:00:00,Seg,6,113,39,6,6,15,18,2,9,6,0,4,25,3,29,10,39,25,0
01/01/2024 02:00:00,Seg,6,17,6,114,38,6,8,24,28,2,9,6,0,4,0,2,19,8,27,0,0
01/01/2024 03:00:00,Seg,6,31,6,113,39,15,6,15,28,2,9,7,0,4,0,3,19,10,29,0,0
01/01/2024 04:00:00,Seg,7,19,4,113,39,6,6,24,28,2,9,16,0,5,0,2,18,8,26,0,0
01/01/2024 05:00:00,Seg,6,9,16,113,48,15,6,15,25,2,16,5,0,4,0,3,5,10,15,0,0
01/01/2024 06:00:00,Seg,7,38,8,114,39,5,21,15,18,2,9,6,0,4,0,2,19,8,27,0,0
01/01/2024 07:00:00,Seg,6,29,8,114,38,16,6,25,28,1,19,10,10,4,0,3,20,10,30,0,0
01/01/2024 08:00:00,Seg,7,18,22,113,39,6,6,15,25,3,9,23,0,5,50,2,54,8,62,50,0
01/01/2024 09:00:00,Seg,6,34,16,112,48,7,23,24,28,10,9,13,0,4,0,2,17,2,19,0,0
01/01/2024 10:00:00,Seg,5,29,22,115,39,17,6,11,28,1,19,12,0,15,25,3,40,3,43,25,0
01/01/2024 11:00:00,Seg,5,21,10,113,38,6,8,15,25,0,9,17,0,5,0,2,2,2,4,0,0
01/01/2024 12:00:00,Seg,6,18,12,112,39,17,21,2,28,0,19,10,0,4,0,3,15,3,18,0,0
01/01/2024 13:00:00,Seg,5,22,22,115,48,6,6,18,25,0,6,10,10,5,25,2,42,2,44,25,0
01/01/2024 14:00:00,Seg,6,21,10,114,42,6,8,9,28,0,19,20,0,4,0,3,16,3,19,0,0
01/01/2024 15:00:00,Seg,15,39,22,114,38,17,23,9,28,0,9,13,0,5,25,2,26,2,28,25,0
01/01/2024 16:00:00,Seg,5,13,12,114,39,6,8,24,25,10,9,25,40,5,50,3,66,3,69,50,0
01/01/2024 17:00:00,Seg,6,37,20,114,48,7,8,14,18,1,19,16,0,5,0,2,17,2,19,0,0
01/01/2024 18:00:00,Seg,6,39,14,116,39,18,23,25,28,2,9,18,10,14,0,2,3,7,10,0,0
01/01/2024 19:00:00,Seg,6,24,12,113,38,6,6,16,28,2,22,27,0,5,0,3,20,10,30,0,0
01/01/2024 20:00:00,Seg,7,42,22,115,52,17,8,26,28,2,9,19,0,5,50,2,68,8,76,50,0
01/01/2024 21:00:00,Seg,6,41,10,115,38,5,8,14,28,2,16,16,0,4,15,3,21,10,31,0,0
01/01/2024 22:00:00,Seg,7,31,16,116,39,5,21,16,28,2,9,23,10,4,0,2,19,8,27,0,0
01/01/2024 23:00:00,Seg,7,39,4,114,38,16,8,24,25,2,19,10,0,4,0,3,19,10,29,0,0
02/01/2024 00:00:00,Ter,6,33,6,118,49,5,6,15,18,12,9,9,0,14,0,2,19,8,27,0,0
02/01/2024 01:00:00,Ter,7,29,16,117,35,15,23,25,28,2,9,18,0,4,0,2,5,9,14,0,0
02/01/2024 02:00:00,Ter,6,42,6,118,39,7,6,15,28,2,19,6,0,4,25,3,43,9,52,25,0
02/01/2024 03:00:00,Ter,17,12,4,117,48,15,6,25,25,2,9,17,10,4,0,2,20,9,29,0,0
02/01/2024 04:00:00,Ter,7,38,16,117,39,7,21,15,18,2,16,5,40,4,0,3,4,9,13,0,0
02/01/2024 05:00:00,Ter,7,20,6,119,38,5,8,16,28,2,9,6,0,4,0,2,20,9,29,0,0
02/01/2024 06:00:00,Ter,8,29,8,117,39,15,6,24,28,12,9,5,0,4,0,2,19,8,27,0,0
02/01/2024 07:00:00,Ter,7,61,18,118,48,7,6,16,25,2,19,18,0,4,0,3,19,10,29,0,0
02/01/2024 08:00:00,Ter,10,31,12,119,39,16,21,25,28,2,9,10,10,5,0,2,4,8,12,0,0
02/01/2024 09:00:00,Ter,12,32,18,118,41,8,8,15,28,3,19,12,0,14,0,3,19,4,23,0,0
02/01/2024 10:00:00,Ter,13,37,22,119,44,9,25,25,31,3,12,26,0,5,0,2,18,2,20,0,0
02/01/2024 11:00:00,Ter,12,30,12,118,55,18,16,17,31,3,18,24,0,4,0,2,2,2,4,0,0
02/01/2024 12:00:00,Ter,13,38,24,146,44,9,18,26,34,2,31,34,0,5,0,3,17,3,20,0,0
02/01/2024 13:00:00,Ter,23,15,12,123,45,18,29,18,34,13,25,24,10,5,0,2,17,2,19,0,0
02/01/2024 14:00:00,Ter,13,40,24,118,54,9,14,18,37,3,15,22,0,5,0,3,2,3,5,0,0
02/01/2024 15:00:00,Ter,13,37,12,119,50,20,31,29,40,3,28,32,0,15,0,2,16,2,18,0,0
02/01/2024 16:00:00,Ter,13,20,14,120,45,15,18,22,40,4,18,23,40,4,0,2,16,2,18,0,0
02/01/2024 17:00:00,Ter,13,52,24,124,57,13,33,32,40,4,31,30,0,5,0,3,19,6,25,0,0
02/01/2024 18:00:00,Ter,13,31,14,121,45,18,18,22,37,4,18,22,10,5,25,2,28,8,36,25,0
